"Story","Title","Result","Date","Stability","Duration (s)"
"App exercise test suite","Initialisation","ERROR","2020-03-24T09:20:40.249+01:00[Europe/Berlin]","0.0","0.0"
"Vérification des fonctionnalités de l'application RDU","Tester les scénario d'administration","SUCCESS","2020-03-24T09:20:46.513+01:00[Europe/Berlin]","0.0","39.58"
